compid,dhid,midx,midy,midz,topx,topy,topz,botx,boty,botz,length,from,to,geocod,bound,cut,mot,rock,rock01,ore,flagug
RL5M_ROCK,1,-8.997,-409.001,2561.765,-8.350,-408.990,2564.180,-9.644,-409.013,2559.350,5.000,0.000,5.000,6,,0.190,0.120,6.000,100.000,-99,-99
RL5M_ROCK,1,-10.291,-409.024,2556.936,-9.644,-409.013,2559.350,-10.938,-409.035,2554.521,5.000,5.000,10.000,6,,0.190,0.090,6.000,100.000,6,-99
RL5M_ROCK,1,-11.585,-409.046,2552.106,-10.938,-409.035,2554.521,-12.232,-409.058,2549.691,5.000,10.000,15.000,6,,0.200,0.100,6.000,100.000,6,-99
RL5M_ROCK,1,-12.879,-409.069,2547.276,-12.232,-409.058,2549.691,-13.526,-409.080,2544.861,5.000,15.000,20.000,6,,0.200,0.080,6.000,100.000,6,-99
RL5M_ROCK,1,-14.173,-409.092,2542.447,-13.526,-409.080,2544.861,-14.819,-409.103,2540.032,5.000,20.000,25.000,6,,0.190,0.080,6.000,100.000,6,-99
RL5M_ROCK,1,-15.466,-409.114,2537.617,-14.819,-409.103,2540.032,-16.113,-409.126,2535.202,5.000,25.000,30.000,6,,0.190,0.070,6.000,100.000,6,-99
RL5M_ROCK,1,-16.760,-409.137,2532.787,-16.113,-409.126,2535.202,-17.407,-409.148,2530.373,5.000,30.000,35.000,6,,0.190,0.040,6.000,100.000,6,-99
RL5M_ROCK,1,-18.054,-409.159,2527.958,-17.407,-409.148,2530.373,-18.701,-409.171,2525.543,5.000,35.000,40.000,6,,0.200,0.040,6.000,100.000,6,-99
RL5M_ROCK,1,-18.727,-409.171,2525.447,-18.701,-409.171,2525.543,-18.753,-409.172,2525.351,0.198,40.000,40.198,1,,1.250,0.000,1.000,100.000,5,-99
RL5M_ROCK,1,-19.399,-409.183,2522.936,-18.753,-409.172,2525.351,-20.046,-409.194,2520.522,5.000,40.198,45.198,1,1,1.250,0.000,1.000,100.000,5,1
RL5M_ROCK,1,-20.693,-409.205,2518.107,-20.046,-409.194,2520.522,-21.340,-409.217,2515.692,5.000,45.198,50.198,1,1,1.245,0.000,1.000,100.000,5,1
RL5M_ROCK,1,-21.987,-409.228,2513.277,-21.340,-409.217,2515.692,-22.634,-409.239,2510.862,5.000,50.198,55.198,1,1,1.358,0.000,1.000,100.000,5,1
RL5M_ROCK,1,-23.281,-409.251,2508.448,-22.634,-409.239,2510.862,-23.928,-409.262,2506.033,5.000,55.198,60.198,1,1,1.082,0.000,1.000,100.000,5,1
RL5M_ROCK,1,-24.575,-409.273,2503.618,-23.928,-409.262,2506.033,-25.222,-409.285,2501.203,5.000,60.198,65.198,1,1,1.123,0.000,1.000,100.000,5,1
RL5M_ROCK,1,-25.869,-409.296,2498.788,-25.222,-409.285,2501.203,-26.516,-409.307,2496.373,5.000,65.198,70.198,1,1,1.187,0.000,1.000,100.000,5,1
RL5M_ROCK,1,-27.163,-409.318,2493.959,-26.516,-409.307,2496.373,-27.810,-409.330,2491.544,5.000,70.198,75.198,1,1,1.110,0.000,1.000,100.000,5,1
RL5M_ROCK,1,-28.457,-409.341,2489.129,-27.810,-409.330,2491.544,-29.104,-409.352,2486.714,5.000,75.198,80.198,1,1,1.105,0.000,1.000,100.000,5,1
RL5M_ROCK,1,-29.751,-409.364,2484.299,-29.104,-409.352,2486.714,-30.398,-409.375,2481.885,5.000,80.198,85.198,1,1,0.984,0.000,1.000,100.000,5,1
RL5M_ROCK,1,-31.045,-409.386,2479.470,-30.398,-409.375,2481.885,-31.692,-409.397,2477.055,5.000,85.198,90.198,1,1,0.835,0.010,1.000,100.000,5,1
RL5M_ROCK,1,-32.338,-409.409,2474.640,-31.692,-409.397,2477.055,-32.985,-409.420,2472.225,5.000,90.198,95.198,1,1,0.720,0.010,1.000,100.000,5,1
RL5M_ROCK,1,-33.632,-409.431,2469.811,-32.985,-409.420,2472.225,-34.279,-409.443,2467.396,5.000,95.198,100.198,1,1,0.722,0.010,1.000,100.000,5,1
RL5M_ROCK,1,-34.926,-409.454,2464.981,-34.279,-409.443,2467.396,-35.573,-409.465,2462.566,5.000,100.198,105.198,1,1,0.766,0.010,1.000,100.000,5,1
RL5M_ROCK,1,-36.220,-409.476,2460.151,-35.573,-409.465,2462.566,-36.867,-409.488,2457.736,5.000,105.198,110.198,1,1,0.895,0.010,1.000,100.000,5,1
RL5M_ROCK,1,-37.514,-409.499,2455.322,-36.867,-409.488,2457.736,-38.161,-409.510,2452.907,5.000,110.198,115.198,1,1,0.520,0.010,1.000,100.000,2,1
RL5M_ROCK,1,-38.808,-409.522,2450.492,-38.161,-409.510,2452.907,-39.455,-409.533,2448.077,5.000,115.198,120.198,1,1,0.516,0.021,1.000,100.000,2,1
RL5M_ROCK,1,-40.102,-409.544,2445.662,-39.455,-409.533,2448.077,-40.749,-409.556,2443.248,5.000,120.198,125.198,1,1,0.662,0.040,1.000,100.000,2,1
RL5M_ROCK,1,-41.396,-409.567,2440.833,-40.749,-409.556,2443.248,-42.043,-409.578,2438.418,5.000,125.198,130.198,1,1,0.696,0.030,1.000,100.000,2,1
RL5M_ROCK,1,-42.690,-409.589,2436.003,-42.043,-409.578,2438.418,-43.337,-409.601,2433.588,5.000,130.198,135.198,1,1,0.614,0.020,1.000,100.000,2,1
RL5M_ROCK,1,-43.984,-409.612,2431.173,-43.337,-409.601,2433.588,-44.631,-409.623,2428.759,5.000,135.198,140.198,1,1,0.706,0.020,1.000,100.000,2,1
RL5M_ROCK,1,-45.277,-409.635,2426.344,-44.631,-409.623,2428.759,-45.924,-409.646,2423.929,5.000,140.198,145.198,1,1,0.621,0.030,1.000,100.000,2,1
RL5M_ROCK,1,-46.571,-409.657,2421.514,-45.924,-409.646,2423.929,-47.218,-409.668,2419.099,5.000,145.198,150.198,1,1,0.646,0.030,1.000,100.000,2,1
RL5M_ROCK,1,-47.865,-409.680,2416.685,-47.218,-409.668,2419.099,-48.512,-409.691,2414.270,5.000,150.198,155.198,1,1,0.536,0.020,1.000,100.000,2,1
RL5M_ROCK,1,-49.159,-409.702,2411.855,-48.512,-409.691,2414.270,-49.806,-409.714,2409.440,5.000,155.198,160.198,1,1,0.442,0.010,1.000,100.000,2,1
RL5M_ROCK,1,-50.453,-409.725,2407.025,-49.806,-409.714,2409.440,-51.100,-409.736,2404.611,5.000,160.198,165.198,1,1,0.488,0.010,1.000,100.000,2,1
RL5M_ROCK,1,-51.747,-409.747,2402.196,-51.100,-409.736,2404.611,-52.394,-409.759,2399.781,5.000,165.198,170.198,1,1,0.442,0.010,1.000,100.000,2,1
RL5M_ROCK,1,-53.041,-409.770,2397.366,-52.394,-409.759,2399.781,-53.688,-409.781,2394.951,5.000,170.198,175.198,1,1,0.496,0.010,1.000,100.000,2,1
RL5M_ROCK,1,-54.335,-409.793,2392.536,-53.688,-409.781,2394.951,-54.982,-409.804,2390.122,5.000,175.198,180.198,1,1,0.400,0.000,1.000,100.000,2,1
RL5M_ROCK,1,-55.629,-409.815,2387.707,-54.982,-409.804,2390.122,-56.276,-409.827,2385.292,5.000,180.198,185.198,1,1,0.391,0.000,1.000,100.000,2,1
RL5M_ROCK,1,-56.897,-409.837,2382.973,-56.276,-409.827,2385.292,-57.518,-409.848,2380.654,4.802,185.198,190.000,1,1,0.420,0.010,1.000,100.000,2,1
RL5M_ROCK,1,-57.540,-409.849,2380.574,-57.518,-409.848,2380.654,-57.561,-409.849,2380.494,0.166,190.000,190.166,3,1,1.160,0.060,3.000,100.000,2,1
RL5M_ROCK,1,-57.570,-409.849,2380.461,-57.561,-409.849,2380.494,-57.579,-409.849,2380.428,0.068,190.166,190.234,3,,1.160,0.060,3.000,100.000,2,-99
RL5M_ROCK,1,-58.226,-409.861,2378.013,-57.579,-409.849,2380.428,-58.873,-409.872,2375.598,5.000,190.234,195.234,3,3,1.154,0.059,3.000,100.000,2,3
RL5M_ROCK,1,-59.520,-409.883,2373.183,-58.873,-409.872,2375.598,-60.167,-409.894,2370.769,5.000,195.234,200.234,3,3,1.023,0.040,3.000,100.000,2,3
RL5M_ROCK,1,-60.783,-409.905,2368.467,-60.167,-409.894,2370.769,-61.400,-409.916,2366.165,4.766,200.234,205.000,3,3,0.870,0.030,3.000,100.000,2,3
RL5M_ROCK,10,-110.142,-257.330,2555.694,-109.580,-257.340,2558.130,-110.705,-257.320,2553.258,5.000,0.000,5.000,6,,0.000,0.000,6.000,100.000,6,-99
RL5M_ROCK,10,-111.267,-257.311,2550.822,-110.705,-257.320,2553.258,-111.829,-257.301,2548.386,5.000,5.000,10.000,6,,0.230,0.030,6.000,100.000,6,-99
RL5M_ROCK,10,-112.391,-257.291,2545.950,-111.829,-257.301,2548.386,-112.954,-257.281,2543.514,5.000,10.000,15.000,6,,0.220,0.020,6.000,100.000,6,-99
RL5M_ROCK,10,-113.516,-257.271,2541.079,-112.954,-257.281,2543.514,-114.078,-257.261,2538.643,5.000,15.000,20.000,6,,0.220,0.010,6.000,100.000,6,-99
RL5M_ROCK,10,-114.641,-257.252,2536.207,-114.078,-257.261,2538.643,-115.203,-257.242,2533.771,5.000,20.000,25.000,6,,0.220,0.020,6.000,100.000,6,-99
RL5M_ROCK,10,-115.765,-257.232,2531.335,-115.203,-257.242,2533.771,-116.328,-257.222,2528.899,5.000,25.000,30.000,6,,0.230,0.040,6.000,100.000,6,-99
RL5M_ROCK,10,-116.890,-257.212,2526.463,-116.328,-257.222,2528.899,-117.452,-257.203,2524.027,5.000,30.000,35.000,6,,0.230,0.060,6.000,100.000,6,-99
RL5M_ROCK,10,-118.014,-257.193,2521.591,-117.452,-257.203,2524.027,-118.577,-257.183,2519.155,5.000,35.000,40.000,6,,0.230,0.060,6.000,100.000,6,-99
RL5M_ROCK,10,-119.139,-257.173,2516.719,-118.577,-257.183,2519.155,-119.701,-257.163,2514.283,5.000,40.000,45.000,5,,0.180,0.080,5.000,100.000,5,-99
